squareMeters,numberOfRooms,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,id
54318,10,52,76737,4,2,1998.0,,1,9580,300
70021,52,28,95678,4,6,1992.0,0.0,1,4480,14466
54368,11,20,55761,3,7,2021.0,0.0,0,231,12762
31421,29,68,67505,5,3,1999.0,1.0,1,8949,24798
63053,6,28,45312,3,1,1997.0,,1,8414,24099
4187,89,17,7488,1,6,1994.0,,0,186,29220
33108,82,83,52015,6,10,2016.0,1.0,0,6250,20451
64393,8,51,95335,4,1,1990.0,1.0,0,3835,29385
93876,60,70,5484,2,1,1999.0,1.0,1,4086,5532
67040,60,22,1690,4,8,1993.0,1.0,0,4817,26619
47938,17,68,64247,7,1,2013.0,0.0,1,327,7656
39090,57,74,2922,4,9,2010.0,0.0,0,3572,29370
43609,66,55,6739,4,9,2005.0,0.0,1,3388,1695
41998,74,17,32039,6,1,1990.0,1.0,0,6838,6021
36496,9,47,51526,5,1,2017.0,,1,2768,3513
84016,15,55,63595,1,7,2016.0,1.0,0,3284,12339
3087,27,94,9283,3,10,2005.0,1.0,1,5866,10590
89768,48,17,71000,6,9,1993.0,,1,2485,19320
30226,74,87,71053,10,9,2007.0,0.0,0,515,29085
58478,5,35,5898,6,10,2016.0,0.0,0,8366,25212
66621,48,89,52165,10,1,1995.0,,1,5024,20160
73314,43,38,49895,10,1,2018.0,0.0,1,3281,2547
59972,28,18,32083,9,8,2021.0,,1,8384,17295
71591,20,58,46834,7,4,1998.0,,0,6486,27567
92462,52,46,22405,9,6,2019.0,,0,9584,25389
52325,60,24,76804,6,5,1992.0,1.0,0,8987,15207
67311,67,10,45626,3,3,1990.0,1.0,1,6928,15750
45050,99,87,20318,4,8,2013.0,,0,5218,5760
61534,73,97,22943,9,5,2001.0,0.0,0,9265,7893
84091,50,72,22718,7,5,1993.0,,0,2668,16266
77579,69,97,88798,6,1,1999.0,,0,4850,8058
25204,31,37,87552,4,10,2020.0,1.0,0,6560,23079
42059,46,62,43289,6,3,2017.0,1.0,1,8827,23277
38430,43,51,3406,6,4,2021.0,0.0,1,1214,27864
7069,4,89,55300,9,2,2009.0,1.0,1,7499,13539
34780,75,9,67297,4,5,2019.0,,1,3033,19596
12757,100,7,19550,7,8,2020.0,1.0,1,6795,28311
33749,74,38,73976,10,7,1999.0,1.0,1,1729,16434
600,37,43,72736,4,7,2011.0,,0,6738,3801
7239,61,83,26435,4,7,1994.0,1.0,0,7782,13449
34919,20,84,60113,5,1,1997.0,0.0,0,6566,12786
25614,29,27,52970,4,1,1994.0,,0,700,15699
51434,64,23,79754,10,2,2012.0,,1,2080,888
78960,55,76,23408,8,4,2015.0,1.0,1,7126,25032
70751,64,41,92268,1,9,2006.0,,0,1506,5889
81870,60,100,58048,3,8,2020.0,0.0,0,3632,24054
91559,36,21,82521,6,2,2007.0,0.0,1,788,588
72098,9,67,91168,2,3,2014.0,,0,9080,1545
23177,19,52,69373,4,1,2003.0,0.0,0,2706,19962
39517,92,85,51212,4,6,2019.0,0.0,1,7618,24012
55232,23,8,849,8,3,1991.0,,0,1492,1218
53735,49,92,2423,4,7,2006.0,0.0,0,8654,27153
67753,72,78,31721,3,9,1995.0,,1,7480,11025
1450,59,1,2317,10,9,2018.0,,1,1285,19716
82141,93,61,74213,3,7,2019.0,,1,8785,22983
17868,73,35,48674,4,9,2013.0,,0,1718,6030
71397,71,93,68199,3,10,1995.0,1.0,1,3477,18021
32623,35,14,80204,10,6,2003.0,,0,4633,13998
23841,71,25,32106,3,7,2010.0,1.0,1,7590,25359
16495,94,6,90448,3,10,1991.0,1.0,1,2214,14922
39109,24,67,74477,4,3,2002.0,1.0,0,1642,23685
65151,81,3,66191,7,9,1991.0,0.0,0,3218,28125
61484,91,94,87015,8,8,2013.0,1.0,0,5486,28494
57160,15,43,40786,8,8,2002.0,0.0,0,4018,21711
13346,57,57,30010,6,8,2021.0,1.0,1,2525,16785
27351,77,36,98465,4,1,1997.0,1.0,1,1150,15669
18466,50,60,89670,5,2,2020.0,,0,2475,20757
45441,29,66,21239,3,5,2004.0,0.0,1,8121,29148
55933,15,97,5800,9,8,2001.0,1.0,1,7369,7755
81936,68,92,6143,3,1,2011.0,,0,6393,21822
18237,70,74,25093,9,6,2011.0,0.0,0,7173,14622
35631,54,7,77355,10,6,2018.0,1.0,1,216,8913
99683,12,77,18300,5,8,2002.0,,1,4034,15192
47664,44,77,98008,6,3,2010.0,1.0,1,2662,216
62887,45,7,91125,4,3,1993.0,,0,292,4170
18470,20,73,9406,3,1,2000.0,,0,4089,28440
36031,63,47,74698,9,8,2001.0,0.0,1,9701,9324
22776,84,5,82401,9,9,1993.0,0.0,1,2422,12510
14830,81,1,17641,1,10,1992.0,1.0,0,6151,813
43944,40,69,5581,10,5,2012.0,,1,7466,26529
73062,34,38,44770,4,8,2016.0,,0,9823,26019
84284,76,39,55723,5,1,1998.0,0.0,0,4500,8778
9619,66,91,82543,9,5,1991.0,0.0,1,1069,10278
11410,96,96,85454,8,3,2019.0,0.0,1,1466,20475
29855,63,23,78080,5,5,2000.0,0.0,1,3861,11004
46716,94,58,25303,8,5,2008.0,,1,1361,25950
77046,69,85,43517,4,2,1992.0,0.0,1,8135,19062
58855,1,66,20127,3,7,2004.0,0.0,1,2267,14967
69165,66,74,51371,4,4,2009.0,,1,1543,22332
57915,25,84,87517,10,4,2007.0,1.0,1,3394,17991
66279,47,9,21934,3,2,2003.0,0.0,1,5079,6813
16068,21,13,21716,8,8,1991.0,1.0,1,8893,2727
74325,50,58,91978,8,10,1994.0,,1,4008,2418
35742,46,47,84138,7,1,2014.0,1.0,1,1732,12447
9026,51,28,85842,1,5,2000.0,,0,779,7119
16899,19,14,47328,2,4,2020.0,0.0,1,5710,768
99854,82,64,82741,3,8,2009.0,0.0,1,4827,18303
33743,56,29,21945,10,8,2006.0,0.0,1,7330,29916
72798,22,30,61212,9,3,2007.0,0.0,0,2209,2466
86492,21,86,42450,3,7,1992.0,,0,7843,18027
38937,35,77,2867,2,6,2013.0,,1,1312,14400
24762,22,62,50367,10,10,1999.0,1.0,1,5264,2577
91047,45,65,41065,8,2,1999.0,0.0,0,7241,14388
55527,64,44,61931,4,2,2005.0,0.0,1,9385,7638
70606,17,79,38,7,3,2017.0,1.0,0,4927,1911
67327,47,87,26709,9,3,1990.0,0.0,1,1097,23718
6125,90,29,95979,1,2,2012.0,,1,6423,16221
71833,37,51,58147,2,5,2013.0,0.0,0,3772,23241
20811,98,71,91543,1,4,1995.0,0.0,1,112,14046
7643,98,63,5989,2,3,1999.0,,0,2142,4764
16669,95,81,15949,4,3,2007.0,,1,6109,28185
84006,73,97,54296,4,7,2000.0,1.0,0,9698,26838
34059,49,90,63489,4,8,1993.0,0.0,1,4138,17907
36131,95,88,72385,8,8,1991.0,,0,1046,25431
8201,18,66,38920,7,2,2007.0,,0,4949,13665
38398,84,22,44513,6,8,1994.0,1.0,0,1618,18396
38833,10,14,28075,4,3,2014.0,,1,1828,4320
41488,22,59,2019,9,1,2013.0,0.0,1,2090,19167
5205,2,15,71289,7,3,2005.0,0.0,0,8342,4761
45066,28,62,85825,9,5,2013.0,0.0,0,7092,4812
63875,53,14,54408,7,3,1999.0,1.0,0,4139,10317
25052,88,94,1083,8,6,2020.0,,1,718,7032
51457,64,32,68294,3,10,2016.0,0.0,0,3016,2916
84396,64,96,88421,6,7,2015.0,,1,7416,606
64920,98,63,1173,8,8,2016.0,1.0,0,2287,16290
9166,4,16,26610,4,1,2015.0,1.0,1,6838,24039
85558,48,83,55318,2,9,2017.0,,1,7997,26163
87267,75,81,57714,6,10,2019.0,,0,6899,14493
96091,100,24,99874,10,3,1999.0,0.0,0,6546,20232
38003,98,6,49191,8,10,2008.0,0.0,0,9981,1887
83120,97,68,93953,6,6,2015.0,,1,15,6663
20468,100,34,63924,6,4,2003.0,,1,9659,15468
75152,91,37,61836,3,3,2018.0,1.0,0,4717,4785
32688,9,18,86166,6,5,2013.0,,1,9089,26955
45868,72,69,33082,5,7,1994.0,1.0,1,7668,8286
73900,69,36,57473,4,3,2018.0,,0,9847,2463
16000,41,25,86898,9,4,2007.0,0.0,1,7228,8460
1423,59,30,21687,8,4,1993.0,,1,3900,4878
29951,37,13,56604,6,8,1995.0,,1,5692,20253
40231,84,41,64474,4,5,1999.0,,0,5700,10632
59517,38,69,93928,8,8,2003.0,,0,6831,9240
98969,26,69,36941,10,8,2003.0,0.0,0,3744,17067
99177,49,41,5100,6,10,2021.0,1.0,1,6326,8355
89157,46,42,34482,3,6,2009.0,0.0,1,3510,1485
67429,60,24,89820,8,7,1991.0,1.0,0,3578,10623
38431,57,60,69199,9,3,2020.0,,0,4121,13908
72495,76,59,8723,8,10,1994.0,1.0,0,3413,26745
85362,77,19,40604,6,5,1997.0,0.0,0,7728,26034
28597,93,47,16237,3,9,1990.0,0.0,0,4492,846
13687,36,93,2400,3,5,2001.0,,1,4148,16860
50479,3,73,39939,5,9,2020.0,,0,4149,1881
98121,38,57,20289,7,4,1995.0,0.0,1,6028,28362
57736,16,21,83855,9,6,1999.0,0.0,1,6099,16470
30356,40,85,13378,7,1,1992.0,0.0,0,7660,16527
21141,38,80,65184,10,3,1998.0,1.0,1,169,3333
98122,34,7,80176,7,4,2009.0,,1,7125,14730
34746,12,15,57668,10,5,2000.0,0.0,0,2840,26706
17297,43,19,99289,7,5,2012.0,1.0,1,3216,20808
80324,47,7,20394,3,2,1993.0,1.0,1,325,3375
15815,13,2,2179,7,1,2019.0,1.0,0,637,20565
1066,5,46,65388,4,9,2017.0,0.0,1,2723,22866
79275,95,67,13000,5,9,1995.0,,1,3689,4002
20658,7,48,80216,4,10,1997.0,0.0,0,8080,19803
8687,88,64,2052,3,6,1993.0,1.0,1,7414,10200
69638,42,63,89878,1,2,1991.0,1.0,0,4703,11415
94036,18,19,79418,10,9,2001.0,1.0,1,5913,23481
60889,72,87,55928,6,8,2018.0,1.0,0,7437,9792
11680,21,14,5324,10,1,1992.0,1.0,0,7478,13170
11458,96,31,95286,9,5,2010.0,1.0,0,1365,10146
20397,67,79,29406,8,7,1997.0,0.0,0,705,10647
83206,34,51,27565,9,9,1999.0,1.0,0,9170,3789
8951,11,63,32412,1,10,1997.0,1.0,0,6189,9873
22854,41,89,74420,4,7,2001.0,0.0,1,6216,24309
46042,52,74,45861,9,8,2015.0,1.0,0,65,6681
93506,20,28,7068,8,9,2017.0,1.0,0,5297,23727
58748,76,40,20761,2,5,2010.0,,1,1627,24582
715,71,23,33439,7,3,2010.0,0.0,1,8609,20427
55327,22,59,76622,1,2,1993.0,,1,7163,23127
63631,84,12,31269,6,10,2000.0,0.0,0,239,15402
77915,99,21,63942,5,10,2018.0,0.0,1,1081,11646
91804,5,81,87339,3,9,1999.0,0.0,1,8554,15579
57295,95,69,32081,2,2,1994.0,1.0,1,9771,12078
61057,65,77,17051,9,8,1998.0,1.0,0,9762,28833
91626,83,55,59173,4,5,1991.0,,1,2684,12567
29356,96,46,4864,4,9,1990.0,,1,1780,11970
27134,62,2,1498,7,7,2003.0,0.0,0,3718,28575
1682,65,79,7602,2,3,2017.0,,1,2590,29124
98868,41,67,85917,7,3,2021.0,,1,2146,10404
23898,62,93,73176,9,9,1996.0,,1,8256,612
83110,43,75,55046,7,10,2001.0,1.0,0,4108,16530
71154,67,53,8762,2,6,2021.0,1.0,1,8418,12981
90841,48,15,25300,6,5,2003.0,0.0,0,3333,10506
68416,87,48,60979,8,7,2010.0,,0,1811,26289
47585,95,5,81532,5,1,1993.0,,1,5101,16026
28452,79,40,79918,4,10,2006.0,1.0,1,388,6135
15630,78,4,98750,7,3,1996.0,,0,7084,12774
65900,36,99,27819,1,5,2017.0,0.0,1,2637,17049
21600,94,56,85215,10,8,2000.0,0.0,1,3129,23994
74704,31,22,93675,1,9,1992.0,,0,7463,23859
87291,78,42,5950,3,3,2017.0,0.0,1,6214,9942
96687,65,81,70871,4,4,2012.0,,1,2438,1869
60567,65,100,39919,7,6,2019.0,,0,7010,16113
4872,41,74,79028,9,6,1990.0,1.0,0,5851,11295
9157,48,53,6500,4,10,2009.0,0.0,0,6401,23532
65217,26,39,96357,6,8,2019.0,,1,1374,5343
87346,56,82,34773,9,9,1990.0,,1,5792,19593
47701,26,46,73572,3,5,2001.0,,0,5447,12729
14766,50,79,36865,8,1,2001.0,0.0,0,8031,12240
94841,19,75,11526,3,5,1998.0,1.0,1,3157,20415
59318,92,91,68354,9,8,2002.0,,0,9413,26466
1796,28,4,66676,1,1,1997.0,0.0,1,8360,3054
96526,36,34,61875,5,2,2020.0,0.0,1,2131,14139
62876,36,9,90089,4,8,2006.0,,0,338,14121
59558,43,89,79779,4,3,2012.0,0.0,0,9174,9423
97008,89,4,11466,9,5,2014.0,1.0,1,8321,234
66746,6,10,22139,7,3,1997.0,,0,1567,516
25776,36,93,4777,5,9,2002.0,,0,688,29658
96195,97,64,91809,7,4,2018.0,1.0,1,3874,14091
4805,47,99,48026,5,5,1995.0,,1,2788,2862
23045,21,75,72570,5,5,1990.0,0.0,1,651,8736
95441,70,65,3574,6,10,2017.0,1.0,1,2841,12414
28381,34,64,44973,6,2,2009.0,1.0,0,6737,8514
15731,34,37,93825,5,2,2003.0,,1,7361,5082
18966,58,25,4414,10,4,2019.0,1.0,1,2327,2403
24393,46,16,18507,4,8,2019.0,0.0,0,4080,19815
53339,67,11,6144,4,1,2013.0,1.0,0,368,17493
44053,17,55,70068,9,3,2004.0,1.0,0,6586,11073
70898,98,92,51635,6,1,1994.0,,0,4848,27696
84483,41,85,28464,10,3,2019.0,1.0,0,6052,23964
35716,24,52,77207,4,2,2013.0,,1,8821,25599
64693,64,81,90290,10,9,2013.0,0.0,0,7506,9078
32593,40,94,89328,2,9,2006.0,,0,2261,17424
1607,63,52,32832,10,8,2020.0,,0,2844,23286
39484,74,30,6688,6,4,1991.0,,0,3172,3309
32458,28,20,47125,1,3,2015.0,,0,8462,18402
72243,64,23,34837,2,1,2004.0,,1,4431,12876
20624,44,83,50284,10,2,1996.0,,0,318,14109
7443,38,41,4785,8,8,2005.0,0.0,0,3249,28332
78382,41,14,58781,7,1,2020.0,1.0,1,8751,15954
70614,15,100,61317,10,5,2010.0,1.0,1,4845,12768
32235,59,10,76786,2,6,2016.0,1.0,0,7388,28815
2523,12,67,75753,3,10,2015.0,1.0,1,150,29508
87864,55,77,48421,8,4,2019.0,1.0,1,7834,27876
18316,97,3,68804,10,5,1991.0,1.0,0,5804,3057
94471,30,79,55210,6,1,2011.0,,1,1327,12348
60704,96,29,18856,1,10,2004.0,0.0,0,4505,420
54020,4,64,58230,1,3,2013.0,,0,8767,9855
59612,37,56,69063,10,7,2017.0,,1,5616,9951
56467,63,41,28576,3,2,1990.0,1.0,0,2743,23952
65625,55,36,89469,2,10,2015.0,,1,774,28914
41570,76,98,21758,10,4,2014.0,1.0,1,3573,912
44862,99,68,58122,7,5,1992.0,,0,9383,6690
47212,37,81,4826,7,4,2001.0,0.0,0,7210,26067
2840,17,26,94918,4,4,2004.0,1.0,0,6848,24477
40465,85,100,6023,4,9,2004.0,,0,6327,951
17191,80,29,49538,2,5,1995.0,1.0,0,3192,14895
56480,85,80,21192,8,3,2016.0,0.0,0,8211,3663
70503,78,29,72210,2,6,2021.0,1.0,0,6819,17367
4885,100,54,79559,7,8,1993.0,,0,9519,16485
58263,65,57,39046,9,10,2006.0,0.0,1,7942,4470
47647,52,6,24285,10,2,2002.0,1.0,1,3220,27930
57916,51,24,8801,8,1,1998.0,0.0,1,3831,11763
6396,71,40,28917,6,6,2005.0,,0,413,26331
41972,18,49,40098,7,7,1995.0,1.0,0,842,11877
94311,11,47,89062,8,1,2007.0,0.0,1,3619,20202
10714,41,98,23803,5,6,1996.0,0.0,1,2598,22992
11259,26,82,34780,10,4,2010.0,1.0,0,902,9531
3534,16,13,39998,4,1,2003.0,,1,5811,12804
52680,10,79,10177,6,4,1991.0,0.0,1,5687,29286
62711,60,29,42211,8,10,2007.0,0.0,1,4484,14370
19268,12,77,38471,3,5,2010.0,1.0,0,1133,28236
36119,39,46,16503,7,4,2019.0,,1,3958,14241
28394,53,7,81916,8,8,2003.0,0.0,1,63,24447
20392,33,84,53104,10,5,2007.0,,1,1256,17376
7259,25,39,860,1,4,2014.0,0.0,0,6482,10377
28183,81,52,44087,5,2,1993.0,1.0,1,2798,3069
92188,14,95,5286,10,2,1996.0,1.0,1,61,21615
29815,28,77,46462,9,7,1995.0,,1,3530,11982
50219,96,54,23667,9,6,2003.0,0.0,1,8051,19971
1722,56,84,27948,8,8,2002.0,,0,6240,4125
70399,14,85,82950,6,5,2013.0,0.0,1,8009,17787
28790,52,15,13856,7,6,2021.0,1.0,1,1238,15975
92962,7,37,32437,5,1,2000.0,1.0,0,6581,19989
34245,2,85,50891,4,4,2010.0,1.0,1,251,6744
54677,64,94,77132,2,10,1996.0,1.0,0,1236,22356
74227,84,5,98736,7,7,2000.0,1.0,0,4609,24687
94939,46,48,55155,9,10,2009.0,,0,9164,54
48884,58,32,15276,1,7,2010.0,1.0,0,311,13500
10638,39,33,64229,5,4,2016.0,0.0,1,3142,5097
90315,61,91,21653,7,7,1994.0,1.0,1,5604,6807
17633,28,83,83228,6,2,2013.0,,0,1644,5298
63242,45,18,63066,4,10,2017.0,0.0,1,6932,6108
79344,46,42,19012,2,3,1991.0,1.0,0,8088,2763
72093,48,92,83520,8,1,2005.0,1.0,0,4805,27351
13378,59,9,2735,1,1,2001.0,1.0,1,8171,28038
47019,35,9,60947,8,4,2020.0,0.0,0,2005,11163
34666,75,14,28826,5,2,2002.0,1.0,1,9405,24288
93509,28,62,48468,6,2,1992.0,,1,72,11028
13583,42,32,42009,7,2,2015.0,,1,4519,4533
19649,11,83,87255,4,4,1999.0,1.0,0,595,60
141,16,58,42248,5,4,1997.0,1.0,0,3411,22947
22821,64,14,66304,9,8,1993.0,1.0,1,2060,561
533,76,55,94923,6,8,2021.0,1.0,1,654,3681
67020,71,38,64361,4,7,2015.0,,0,3647,4296
49094,30,49,90656,9,2,2021.0,0.0,1,4934,13368
25269,88,92,86720,6,7,2019.0,1.0,1,3464,20625
71989,41,77,50519,2,3,2003.0,0.0,0,7290,11016
73180,1,54,38386,9,7,2011.0,0.0,0,3340,22812
18926,58,84,32618,6,4,1998.0,1.0,0,5353,10827
6492,76,88,81044,10,3,2018.0,,0,2655,17355
98045,4,8,78526,4,5,2002.0,0.0,0,9321,28422
51589,83,43,55528,6,10,1998.0,,0,7867,13698
24390,75,44,70527,10,9,1992.0,,0,7295,18954
75890,10,59,33129,9,5,2001.0,0.0,1,270,15957
29220,9,59,33789,7,6,1994.0,1.0,0,391,24513
72433,57,18,69864,7,7,2001.0,,0,6995,12534
57467,98,64,24393,7,3,1993.0,0.0,0,661,29631
81482,76,9,56103,1,7,1997.0,0.0,0,2265,3729
61346,69,52,63238,7,10,2009.0,0.0,1,7427,8199
80915,23,67,46095,9,6,1992.0,1.0,1,5351,21165
65479,74,35,99953,10,5,2000.0,,1,9347,14994
48302,22,13,82376,2,9,2017.0,,0,9855,9546
76690,21,99,91395,1,1,1990.0,1.0,1,611,22854
14447,39,23,93847,6,8,2002.0,0.0,0,5371,26340
24213,31,93,51767,1,7,1994.0,1.0,0,1561,4017
1843,30,3,3,4,7,2007.0,1.0,1,1313,10638
78183,65,86,3648,7,9,2007.0,,1,8682,11733
99323,35,28,69665,6,7,2018.0,,0,6346,6870
67491,21,57,5308,6,7,2007.0,1.0,0,1253,21288
2588,82,69,25395,1,5,2016.0,0.0,0,7247,10554
76635,6,1,73981,2,5,1999.0,,0,981,15681
45070,100,92,21335,9,9,1997.0,,0,1333,8421
62381,58,44,22862,1,4,2003.0,1.0,0,1809,5457
98543,2,44,88249,1,3,1992.0,0.0,1,2955,29187
13972,39,8,91674,2,2,2009.0,0.0,0,1477,25515
71567,70,94,64245,10,8,1992.0,0.0,0,5968,22107
36804,99,12,76338,2,8,1996.0,,0,6951,11826
21297,71,14,75154,2,3,1995.0,1.0,1,8198,23376
9950,1,69,79019,5,10,2012.0,0.0,1,3156,19896
3661,50,24,1138,3,8,2007.0,1.0,0,6186,8007
88102,51,70,42082,8,3,2016.0,1.0,0,7245,24426
72596,91,90,32957,7,6,2015.0,,0,9595,23850
70763,4,38,18220,10,4,2015.0,1.0,0,7098,4038
12002,58,41,2764,8,8,1995.0,1.0,0,1718,9507
26146,34,98,431,7,9,2011.0,1.0,1,2060,20103
13716,62,98,61202,6,8,1990.0,,1,5967,3093
23281,32,52,87667,9,10,2020.0,1.0,1,3681,27936
3824,45,9,11597,5,6,2019.0,,1,3191,28818
56086,3,46,52007,6,2,2021.0,0.0,1,2853,16314
19014,67,89,82387,8,2,1999.0,0.0,0,3330,8937
80808,59,1,18733,7,5,2004.0,0.0,0,3879,1497
83602,5,2,48528,9,7,1991.0,,0,8993,3381
99767,27,79,46530,2,8,2018.0,,0,520,18036
60675,32,51,97066,9,7,2002.0,1.0,0,5953,8865
20210,2,78,77066,1,8,2007.0,1.0,0,2811,591
28694,82,20,44298,2,3,1991.0,,1,3206,26991
45521,53,32,26627,9,9,1991.0,1.0,1,8643,12186
55727,46,77,94339,5,5,2016.0,0.0,0,5811,20016
17307,20,66,81794,5,8,2006.0,1.0,1,2317,5853
86474,98,33,50147,1,6,2004.0,,0,1928,801
6012,53,38,96011,8,7,2013.0,,0,392,25383
6617,51,38,26766,10,4,2010.0,,1,7115,7329
34061,43,90,26346,3,1,1993.0,,0,1616,24960
12881,12,68,85503,10,5,2006.0,0.0,1,8654,7851
48458,82,72,98206,3,6,2002.0,1.0,1,5447,19161
89618,49,36,30029,1,6,2006.0,0.0,1,4321,20778
10369,30,68,51049,8,10,1999.0,0.0,0,9629,28923
21865,24,79,50297,10,5,1993.0,,0,2324,23448
30817,48,63,26230,9,3,2013.0,,0,2444,2472
8808,85,37,93756,5,10,1998.0,1.0,1,9287,6510
16006,69,26,6423,7,10,1990.0,,0,3565,9984
70517,37,1,67679,5,6,2002.0,,1,9373,29127
55592,68,10,80811,7,6,2021.0,,0,7719,11592
10978,17,55,25000,2,9,2015.0,,1,9798,17790
94388,7,81,41690,8,8,1996.0,,0,7739,4287
18041,90,99,90750,6,8,2006.0,1.0,0,1064,27732
18220,91,97,50508,8,4,2013.0,1.0,0,2604,9009
39342,7,84,88712,5,7,1994.0,,1,1003,14604
66570,59,2,85412,7,10,2008.0,,1,2628,14550
34592,100,33,63748,1,7,1994.0,,0,7356,16656
38700,25,26,101,4,7,1996.0,,1,5100,10797
32060,25,97,43201,8,9,,0.0,1,9618,4305
8305,86,83,36778,9,9,2001.0,0.0,1,1648,4161
40080,50,82,11062,8,8,2018.0,,0,5973,22485
89335,66,54,25219,7,2,2004.0,0.0,1,9808,7530
78546,92,84,52906,10,6,1991.0,0.0,1,978,15018
50066,63,67,81340,8,5,1998.0,0.0,1,8716,6951
37008,61,75,13250,6,3,2013.0,1.0,0,309,24534
32876,98,32,48832,7,9,2008.0,1.0,1,3289,14982
98266,14,42,27552,8,10,1990.0,1.0,1,6293,15114
53665,66,81,16527,10,3,2002.0,1.0,0,1788,11640
33469,98,91,29874,7,7,2016.0,0.0,0,6871,2409
42578,49,23,3339,7,8,2013.0,,0,6690,915
64329,25,44,54901,4,5,2019.0,0.0,1,7313,318
29512,96,26,49748,2,8,2012.0,,1,6556,17820
241,78,50,86182,7,6,2013.0,,1,4070,7293
32709,47,80,86465,1,3,2006.0,0.0,1,2548,21654
29271,70,98,33402,10,3,2021.0,1.0,1,3470,10872
15542,19,27,48610,8,7,1996.0,0.0,0,563,28299
94951,52,80,45083,8,4,2014.0,1.0,1,4121,6957
12296,54,45,44308,9,10,2008.0,1.0,1,1449,8994
42390,17,96,16776,5,1,2001.0,0.0,0,7796,3774
2157,22,93,68218,5,4,2021.0,0.0,0,5209,1248
70576,66,7,75420,4,7,2013.0,,0,6411,28290
22232,24,52,20211,5,9,2005.0,1.0,1,135,19818
31368,78,86,96715,4,5,2007.0,,1,6510,28509
2713,76,19,66674,8,5,2000.0,1.0,1,3827,17004
40939,60,6,67333,4,7,2017.0,,1,9386,7527
84892,59,46,1488,6,10,2007.0,,1,271,24030
43332,60,24,16226,5,5,2002.0,0.0,1,9557,10812
39445,100,66,31733,10,5,1990.0,,1,1391,8442
82032,78,64,11922,9,10,2004.0,0.0,0,6972,24249
813,45,15,52891,7,2,1998.0,,0,4226,10956
43432,44,34,780,1,4,2010.0,,0,2077,16311
80988,34,57,56385,6,10,2015.0,0.0,1,8135,11898
99444,68,60,93693,2,4,2021.0,1.0,0,5643,13857
